period,0_rent,1_rent,2_rent,3_rent,0_adj,1_adj,2_adj,3_adj
2022 Q2,2282,1336,1499,1756,2282,1336,1499,1756
2022 Q1,2274,1320,1511,1740,2300,1336,1528,1760
2021 Q4,2242,1289,1472,1695,2319,1334,1523,1754
2021 Q3,2211,1257,1416,1676,2338,1329,1498,1772
2021 Q2,2183,1246,1429,1667,2353,1343,1540,1797
2021 Q1,2238,1209,1385,1633,2452,1324,1517,1789
2020 Q4,2293,1149,1303,1543,2562,1284,1455,1724
2020 Q3,2349,1113,1269,1501,2651,1256,1432,1694
2020 Q2,2404,1107,1250,1492,2729,1256,1419,1693
2020 Q1,2404,1093,1230,1466,2760,1255,1412,1683
2019 Q4,2404,1074,1205,1408,2736,1223,1371,1604
2019 Q3,2383,1064,1184,1387,2721,1216,1352,1584
2019 Q2,2320,1062,1187,1398,2666,1221,1364,1607
2019 Q1,2258,1066,1187,1409,2604,1229,1369,1625
2018 Q4,2195,1055,1175,1376,2551,1227,1365,1599
2018 Q3,2132,1036,1148,1338,2485,1207,1338,1559
2018 Q2,2068,1032,1152,1344,2418,1207,1347,1572
2018 Q1,2009,1026,1145,1342,2360,1205,1345,1576
2017 Q4,1940,1012,1130,1308,2291,1196,1335,1545
2017 Q3,1877,997,1105,1298,2236,1187,1316,1546
2017 Q2,1815,985,1106,1297,2178,1183,1328,1557
2017 Q1,1751,980,1088,1280,2112,1182,1313,1544
2016 Q4,1729,965,1073,1273,2087,1165,1295,1537
2016 Q3,1751,956,1059,1247,2130,1162,1287,1516
2016 Q2,1738,950,1055,1236,2126,1162,1291,1512
2016 Q1,1727,943,1049,1235,2122,1159,1289,1517
2015 Q4,1708,935,1045,1231,2115,1158,1294,1525
2015 Q3,1699,923,1029,1212,2104,1143,1274,1500
2015 Q2,1687,918,1026,1204,2088,1137,1270,1491
2015 Q1,1673,917,1021,1191,2078,1139,1269,1480
2014 Q4,1665,907,1012,1177,2082,1135,1266,1473
2014 Q3,1655,894,993,1162,2057,1111,1234,1445
2014 Q2,1642,886,988,1163,2036,1099,1225,1442
2014 Q1,1623,880,983,1156,2018,1094,1222,1438
2013 Q4,1620,876,977,1148,2024,1095,1221,1434
2013 Q3,1614,871,972,1135,2029,1095,1222,1427
2013 Q2,1605,868,967,1123,2026,1095,1220,1417
2013 Q1,1597,862,961,1118,2027,1094,1220,1419
2012 Q4,1595,853,952,1108,2021,1081,1207,1404
2012 Q3,1589,843,942,1106,2022,1072,1198,1408
2012 Q2,1579,841,937,1103,2022,1078,1201,1413
2012 Q1,1571,841,934,1100,2022,1082,1202,1416
2011 Q4,1565,837,931,1096,2018,1080,1201,1413
2011 Q3,1561,836,928,1094,2024,1084,1204,1419
2011 Q2,1557,833,922,1089,2029,1085,1201,1419
2011 Q1,1553,830,920,1086,2037,1088,1206,1423
2010 Q4,1550,829,919,1086,2056,1100,1219,1440
2010 Q3,1562,834,925,1092,2093,1118,1240,1464
2010 Q2,1598,851,942,1113,2159,1150,1273,1503
2010 Q1,1601,852,943,1114,2169,1154,1278,1509
2009 Q4,1587,846,937,1107,2150,1146,1270,1499
2009 Q3,1587,846,937,1107,2152,1148,1272,1502
2009 Q2,1600,852,943,1114,2188,1165,1290,1523
2009 Q1,1598,851,943,1113,2204,1174,1300,1535
2008 Q4,1586,846,937,1106,2199,1173,1299,1534
2008 Q3,1600,852,944,1114,2203,1173,1300,1534
2008 Q2,1614,859,952,1123,2172,1155,1280,1511
2008 Q1,1616,860,953,1124,2208,1174,1301,1536
2007 Q4,1608,856,948,1119,2225,1184,1312,1549
2007 Q3,1603,853,945,1116,2242,1194,1322,1561
2007 Q2,1606,855,947,1118,2274,1210,1341,1583
2007 Q1,1601,852,943,1114,2281,1214,1344,1588
2006 Q4,1583,843,933,1102,2281,1215,1344,1589
2006 Q3,1571,837,926,1095,2286,1218,1348,1593
2006 Q2,1565,834,923,1091,2268,1209,1338,1581
2006 Q1,1549,826,914,1080,2265,1208,1337,1580
2005 Q4,1521,811,898,1062,2244,1198,1326,1567
2005 Q3,1504,803,889,1051,2232,1191,1319,1559
2005 Q2,1503,802,888,1050,2251,1201,1330,1572
2005 Q1,1492,796,881,1042,2268,1210,1340,1584
2004 Q4,1477,788,873,1032,2260,1206,1336,1579
2004 Q3,1478,789,873,1032,2273,1213,1343,1588
2004 Q2,1487,793,878,1038,2312,1233,1365,1614
2004 Q1,1476,788,872,1031,2310,1232,1364,1613
2003 Q4,1456,777,860,1017,2296,1225,1356,1604
2003 Q3,1459,778,861,1018,2320,1238,1370,1620
2003 Q2,1473,786,870,1028,2351,1255,1389,1642
2003 Q1,1486,793,877,1037,2389,1275,1411,1668
2002 Q4,1491,796,880,1041,2394,1277,1413,1671
2002 Q3,1492,796,881,1041,2420,1291,1429,1689
2002 Q2,1483,791,876,1035,2420,1291,1429,1690
2002 Q1,1504,802,888,1050,2467,1317,1457,1722
2001 Q4,1513,807,893,1056,2502,1335,1476,1746
2001 Q3,1500,800,885,1047,2488,1327,1468,1736
2001 Q2,1461,780,863,1020,2422,1292,1431,1691
2001 Q1,1430,763,845,999,2378,1269,1405,1661
2000 Q4,1397,745,826,976,2338,1248,1383,1634
2000 Q3,1384,739,819,968,2340,1248,1384,1635
2000 Q2,1376,734,814,962,2342,1250,1385,1637
2000 Q1,1366,729,808,955,2346,1252,1388,1640
,1354,723,801,947,2344,1251,1386,1639
