Period,Current Search
2022 Q3 QTD,"$1,331 "
2022 Q2,"$1,406 "
2022 Q1,"$1,396 "
2021 Q4,"$1,344 "
2021 Q3,"$1,329 "
2021 Q2,"$1,341 "
2021 Q1,"$1,326 "
2020 Q4,"$1,298 "
2020 Q3,"$1,257 "
2020 Q2,"$1,269 "
2020 Q1,"$1,244 "
2019 Q4,"$1,215 "
2019 Q3,"$1,283 "
2019 Q2,"$1,244 "
2019 Q1,"$1,261 "
2018 Q4,"$1,285 "
2018 Q3,"$1,180 "
2018 Q2,"$1,297 "
2018 Q1,"$1,209 "
2017 Q4,"$1,180 "
2017 Q3,"$1,205 "
2017 Q2,"$1,202 "
2017 Q1,"$1,276 "
2016 Q4,"$1,247 "
2016 Q3,"$1,224 "
2016 Q2,"$1,241 "
2016 Q1,"$1,243 "
2015 Q4,"$1,257 "
2015 Q3,"$1,260 "
2015 Q2,"$1,265 "
2015 Q1,"$1,272 "
2014 Q4,"$1,242 "
2014 Q3,"$1,242 "
2014 Q2,"$1,233 "
2014 Q1,"$1,225 "
2013 Q4,"$1,227 "
2013 Q3,"$1,221 "
2013 Q2,"$1,211 "
2013 Q1,"$1,195 "
2012 Q4,"$1,189 "
2012 Q3,"$1,190 "
2012 Q2,"$1,192 "
2012 Q1,"$1,198 "
2011 Q4,"$1,196 "
2011 Q3,"$1,184 "
2011 Q2,"$1,192 "
2011 Q1,"$1,207 "
2010 Q4,"$1,229 "
2010 Q3,"$1,266 "
2010 Q2,"$1,285 "
2010 Q1,"$1,269 "
2009 Q4,"$1,274 "
2009 Q3,"$1,280 "
2009 Q2,"$1,291 "
2009 Q1,"$1,286 "
2008 Q4,"$1,288 "
2008 Q3,"$1,289 "
2008 Q2,"$1,311 "
2008 Q1,"$1,317 "
2007 Q4,"$1,328 "
2007 Q3,"$1,347 "
2007 Q2,"$1,352 "
2007 Q1,"$1,337 "
2006 Q4,"$1,342 "
2006 Q3,"$1,332 "
2006 Q2,"$1,329 "
2006 Q1,"$1,321 "
2005 Q4,"$1,315 "
2005 Q3,"$1,327 "
2005 Q2,"$1,335 "
2005 Q1,"$1,331 "
2004 Q4,"$1,338 "
2004 Q3,"$1,359 "
2004 Q2,"$1,359 "
2004 Q1,"$1,351 "
2003 Q4,"$1,365 "
2003 Q3,"$1,383 "
2003 Q2,"$1,406 "
2003 Q1,"$1,409 "
2002 Q4,"$1,424 "
2002 Q3,"$1,424 "
2002 Q2,"$1,452 "
2002 Q1,"$1,472 "
2001 Q4,"$1,464 "
2001 Q3,"$1,425 "
2001 Q2,"$1,399 "
2001 Q1,"$1,376 "
2000 Q4,"$1,377 "
2000 Q3,"$1,378 "
2000 Q2,"$1,380 "
2000 Q1,"$1,379 "
