Period,rent_adj,rent
2022 Q3 QTD,1217,1217
2022 Q2,1224,1210
2022 Q1,1225,1184
2021 Q4,1229,1163
2021 Q3,1234,1145
2021 Q2,1221,1114
2021 Q1,1224,1095
2020 Q4,1212,1074
2020 Q3,1209,1065
2020 Q2,1216,1059
2020 Q1,1199,1053
2019 Q4,1196,1047
2019 Q3,1197,1042
2019 Q2,1196,1037
2019 Q1,1193,1026
2018 Q4,1188,1019
2018 Q3,1185,1013
2018 Q2,1181,1005
2018 Q1,1180,999
2017 Q4,1183,994
2017 Q3,1185,987
2017 Q2,1181,980
2017 Q1,1175,973
2016 Q4,1176,967
2016 Q3,1176,961
2016 Q2,1176,957
2016 Q1,1179,952
2015 Q4,1172,947
2015 Q3,1168,944
2015 Q2,1155,929
2015 Q1,1152,921
2014 Q4,1124,904
2014 Q3,1115,900
2014 Q2,1108,891
2014 Q1,1113,891
2013 Q4,1120,891
2013 Q3,1127,893
2013 Q2,1120,883
2013 Q1,1111,877
2012 Q4,1114,876
2012 Q3,1108,865
2012 Q2,1110,862
2012 Q1,1108,859
2011 Q4,1112,857
2011 Q3,1114,855
2011 Q2,1118,852
2011 Q1,1129,851
2010 Q4,1150,858
2010 Q3,1185,877
2010 Q2,1191,879
2010 Q1,1181,872
2009 Q4,1182,871
2009 Q3,1202,879
2009 Q2,1210,878
2009 Q1,1208,871
2008 Q4,1210,879
2008 Q3,1193,886
2008 Q2,1213,888
2008 Q1,1222,883
2007 Q4,1231,880
2007 Q3,1249,882
2007 Q2,1253,879
2007 Q1,1253,869
2006 Q4,1255,863
2006 Q3,1246,860
2006 Q2,1244,851
2006 Q1,1233,835
2005 Q4,1226,826
2005 Q3,1236,826
2005 Q2,1246,820
2005 Q1,1242,811
2004 Q4,1249,812
2004 Q3,1270,817
2004 Q2,1269,811
2004 Q1,1261,800
2003 Q4,1274,801
2003 Q3,1292,809
2003 Q2,1312,816
2003 Q1,1315,819
2002 Q4,1329,819
2002 Q3,1329,815
2002 Q2,1355,826
2002 Q1,1374,831
2001 Q4,1366,824
2001 Q3,1330,803
2001 Q2,1306,786
2001 Q1,1284,767
2000 Q4,1285,760
2000 Q3,1287,756
2000 Q2,1289,750
2000 Q1,1288,744
