period,rent,rent_adj,,,,,,,
2022 Q3,1504,1504,,,,,,,
2022 Q2,1499,1516,,,,,,,
2022 Q1,1462,1513,,,,,,,
2021 Q4,1418,1499,,,,,,,
2021 Q3,1419,1529,,,,,,,
2021 Q2,1380,1512,,,,,,,
2021 Q1,1303,1455,,,,,,,
2020 Q4,1265,1427,,,,,,,
2020 Q3,1253,1422,,,,,,,
2020 Q2,1232,1414,,,,,,,
2020 Q1,1203,1369,,,,,,,
2019 Q4,1185,1354,,,,,,,
2019 Q3,1189,1366,,,,,,,
2019 Q2,1191,1374,,,,,,,
2019 Q1,1175,1366,,,,,,,
2018 Q4,1151,1341,,,,,,,
2018 Q3,1151,1346,,,,,,,
2018 Q2,1148,1348,,,,,,,
2018 Q1,1128,1333,,,,,,,
2017 Q4,1108,1320,,,,,,,
2017 Q3,1106,1327,,,,,,,
2017 Q2,1091,1316,,,,,,,
2017 Q1,1080,1305,,,,,,,
2016 Q4,1064,1294,,,,,,,
2016 Q3,1058,1294,,,,,,,
2016 Q2,1052,1293,,,,,,,
2016 Q1,1048,1299,,,,,,,
2015 Q4,1035,1282,,,,,,,
2015 Q3,1031,1277,,,,,,,
2015 Q2,1026,1275,,,,,,,
2015 Q1,1016,1271,,,,,,,
2014 Q4,999,1242,,,,,,,
2014 Q3,995,1233,,,,,,,
2014 Q2,988,1229,,,,,,,
2014 Q1,983,1228,,,,,,,
2013 Q4,977,1228,,,,,,,
2013 Q3,971,1225,,,,,,,
2013 Q2,966,1225,,,,,,,
2013 Q1,957,1213,,,,,,,
2012 Q4,948,1207,,,,,,,
2012 Q3,945,1210,,,,,,,
2012 Q2,942,1212,,,,,,,
2012 Q1,939,1210,,,,,,,
2011 Q4,936,1213,,,,,,,
2011 Q3,931,1213,,,,,,,
2011 Q2,929,1218,,,,,,,
2011 Q1,928,1231,,,,,,,
2010 Q4,934,1252,,,,,,,
2010 Q3,952,1287,,,,,,,
2010 Q2,953,1292,,,,,,,
2010 Q1,947,1283,,,,,,,
2009 Q4,947,1285,,,,,,,
2009 Q3,954,1304,,,,,,,
2009 Q2,953,1314,,,,,,,
2009 Q1,947,1313,,,,,,,
2008 Q4,954,1313,,,,,,,
2008 Q3,961,1293,,,,,,,
2008 Q2,962,1315,,,,,,,
2008 Q1,958,1326,,,,,,,
2007 Q4,955,1336,,,,,,,
2007 Q3,957,1355,,,,,,,
2007 Q2,953,1359,,,,,,,
2007 Q1,943,1359,,,,,,,
2006 Q4,937,1363,,,,,,,
2006 Q3,933,1353,,,,,,,
2006 Q2,924,1351,,,,,,,
2006 Q1,908,1340,,,,,,,
2005 Q4,899,1333,,,,,,,
2005 Q3,898,1344,,,,,,,
2005 Q2,891,1355,,,,,,,
2005 Q1,882,1350,,,,,,,
2004 Q4,883,1358,,,,,,,
2004 Q3,888,1380,,,,,,,
2004 Q2,881,1379,,,,,,,
2004 Q1,870,1371,,,,,,,
2003 Q4,871,1385,,,,,,,
2003 Q3,879,1404,,,,,,,
2003 Q2,887,1426,,,,,,,
2003 Q1,890,1429,,,,,,,
2002 Q4,891,1445,,,,,,,
2002 Q3,885,1445,,,,,,,
2002 Q2,898,1473,,,,,,,
2002 Q1,903,1493,,,,,,,
2001 Q4,895,1485,,,,,,,
2001 Q3,873,1446,,,,,,,
2001 Q2,855,1420,,,,,,,
2001 Q1,835,1397,,,,,,,
2000 Q4,827,1398,,,,,,,
2000 Q3,822,1400,,,,,,,
2000 Q2,816,1402,,,,,,,
2000 Q1,809,1401,,,,,,,
