#,PID,Prop Type,Status,Area,Address,Subdivision,Type,# Bedrooms,Total Baths,# Rooms,Fin SF,List Price,Sales Price,Days On Market,Sales Date,Zip
1,760-70-55-53-400-000,Rentals,ACT,62,7946 Provincetown Drive,,Condo/Townhouse,3,1.5,,"1,400","$1,695 ",,4,,23235
1,757-68-91-18-600-000,Rentals,L,54,3626 B N Snyder RD Unit#B,Lyndale,House,1,1,10,928,"$1,100 ","$1,100 ",45,5/6/2020,23235
1,769-69-42-79-300-000,Rentals,L,54,3018 Kim DR,Ashley Village,Condo/Townhouse,2,2.5,5,"1,254","$1,125 ","$1,125 ",125,4/14/2020,23224
1,769-69-43-58-000-000,Rentals,L,54,3046 Kim DR,Ashley Village,Condo/Townhouse,2,2.5,4,"1,305","$1,300 ","$1,300 ",16,10/14/2020,23224
1,,Rentals,L,54,4707 Milfax RD,,Condo/Townhouse,3,3,,"1,292","$1,450 ","$1,450 ",12,6/27/2021,23224
1,759-68-95-65-500-000,Rentals,L,54,3806 Hunton CT,,House,3,2,,"1,586","$1,500 ","$1,575 ",18,3/18/2021,23235
1,769-69-43-75-500-000,Rentals,L,54,3134 Kim DR,,Condo/Townhouse,3,2.1,,"1,292","$1,525 ","$1,525 ",2,8/15/2021,23224
1,770-69-47-91-700-000,Rentals,L,54,3208 S Battlebridge DR,Newberry Towne,Condo/Townhouse,4,2.1,8,"2,268","$1,595 ","$1,650 ",7,1/22/2021,23224
1,770-69-45-07-900-000,Rentals,L,54,3013 Waddington DR,Newberry Towne,Condo/Townhouse,3,2.1,7,"2,376","$1,600 ","$1,600 ",14,11/1/2020,23224
1,759-68-95-65-500-000,Rentals,L,54,3806 Hunton CT,,House,3,2,,"1,586","$1,695 ","$1,695 ",5,4/8/2022,23235
1,,Rentals,L,54,4407 Morehouse TER,Creekwood,House,5,3.5,10,"2,700","$1,750 ","$1,750 ",41,8/11/2020,23832
1,769-69-41-11-900-000,Rentals,L,54,6510 N Stevens Hollow DR,,House,3,2.1,,"1,540","$1,795 ","$1,795 ",21,5/31/2022,23832
1,7.67692E+14,Rentals,L,54,6620 Welch DR,,House,3,2,,"1,809","$1,900 ","$2,000 ",5,6/8/2022,23832
1,,Rentals,L,62,2232 Druid DR,Forestdale,Duplex,3,1,5,"1,170",$900 ,$900 ,53,9/20/2019,23235
1,767-70-06-15-500-000,Rentals,L,62,1702 Meadow Park DR,,House,3,2,5,"1,082","$1,150 ","$1,150 ",11,2/16/2021,23225
1,760-70-43-57-900-000,Rentals,L,62,8023 Provincetown DR,Providence Green,Condo/Townhouse,3,1.5,6,"1,236","$1,300 ","$1,200 ",14,4/14/2020,23235
1,760-70-43-77-000-000,Rentals,L,62,8020 Clovertree CT,,Condo/Townhouse,3,1.5,,"1,220","$1,375 ","$1,375 ",6,3/22/2021,23235
1,761-70-20-64-000-000,Rentals,L,62,935 Starlight LN,Irvindale,House,3,2,6,"1,632","$1,400 ","$1,350 ",183,12/28/2019,23235
1,760-70-43-76-500-000,Rentals,L,62,8024 Clovertree CT,,Condo/Townhouse,3,1.5,,"1,216","$1,450 ","$1,450 ",8,1/20/2022,23235
1,760-70-48-76-700-000,Rentals,L,62,7930 Clovertree CT Unit#7930,,Condo/Townhouse,3,2.1,,"1,216","$1,450 ","$1,450 ",61,3/26/2021,23235
1,763-69-84-00-800-000,Rentals,L,62,2009 Ives LN,Forestdale,House,3,2.1,7,"2,030","$1,495 ","$1,495 ",12,4/17/2020,23235
1,,Rentals,L,62,2107 S Twilight LN,,House,4,2,,"1,380","$1,525 ","$1,525 ",14,3/23/2021,23235
1,758-69-41-58-200-000,Rentals,L,62,8318 Foxberry DR,Foxberry,House,4,2,6,"1,380","$1,525 ","$1,525 ",5,7/6/2020,23235
1,761-70-20-64-000-000,Rentals,L,62,935 Starlight LN,,House,3,2,,"1,632","$1,575 ","$1,575 ",18,9/15/2021,23235
1,764-69-85-66-200-000,Rentals,L,62,2012 Apple Orchard CT,Woodfield,House,3,2.1,7,"1,900","$1,800 ","$1,860 ",19,6/13/2020,23235
